year,state,state_po,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population,pop/elec,ranking,sv
2020,CALIFORNIA,CA,"BIDEN, JOSEPH R. JR",11110250,"TRUMP, DONALD J.",6006429,384202,17500881,DEMOCRAT,55,0,55,39368.078,715783,most,0.00013970714588080465
2020,TEXAS,TX,"BIDEN, JOSEPH R. JR",5259126,"TRUMP, DONALD J.",5890347,165583,11315056,REPUBLICAN,0,38,38,29360.759,772651,most,0.00012942453966926853
2020,FLORIDA,FL,"BIDEN, JOSEPH R. JR",5297045,"TRUMP, DONALD J.",5668731,101680,11067456,REPUBLICAN,0,29,29,21733.312,749424,most,0.00013343581203697772
2020,NEW YORK,NY,"BIDEN, JOSEPH R. JR",5230985,"TRUMP, DONALD J.",3244798,185952,8661735,DEMOCRAT,29,0,29,19336.776,666785,most,0.0001499733797250988
2020,PENNSYLVANIA,PA,"BIDEN, JOSEPH R. JR",3458229,"TRUMP, DONALD J.",3377674,79380,6915283,DEMOCRAT,20,0,20,12783.254,639162,most,0.00015645485807979823
2020,ILLINOIS,IL,"BIDEN, JOSEPH R. JR",3471915,"TRUMP, DONALD J.",2446891,114937,6033743,DEMOCRAT,20,0,20,12587.53,629376,most,0.00015888753304860688
2020,OHIO,OH,"BIDEN, JOSEPH R. JR",2679165,"TRUMP, DONALD J.",3154834,88203,5922202,REPUBLICAN,0,18,18,11693.217,649623,most,0.00015393543639926542
2020,GEORGIA,GA,"BIDEN, JOSEPH R. JR",2473633,"TRUMP, DONALD J.",2461854,64473,4999960,DEMOCRAT,16,0,16,10710.017,669376,most,0.00014939286738693946
2020,NORTH CAROLINA,NC,"BIDEN, JOSEPH R. JR",2684292,"TRUMP, DONALD J.",2758773,81737,5524802,REPUBLICAN,0,15,15,10600.823,706721,most,0.00014149855459226485
2020,MICHIGAN,MI,"BIDEN, JOSEPH R. JR",2804040,"TRUMP, DONALD J.",2649852,85410,5539302,DEMOCRAT,16,0,16,9966.555,622909,most,0.00016053709289799955
2020,MAINE,ME,"BIDEN, JOSEPH R. JR",435072,"TRUMP, DONALD J.",360737,32496,828305,DEMOCRAT,3,1,4,1350.141,337535,least,0.0002962655724591524
2020,MONTANA,MT,"BIDEN, JOSEPH R. JR",244786,"TRUMP, DONALD J.",343602,15286,603674,REPUBLICAN,0,3,3,1080.577,360192,least,0.0002776297085998579
2020,RHODE ISLAND,RI,"BIDEN, JOSEPH R. JR",307486,"TRUMP, DONALD J.",199922,9582,516990,DEMOCRAT,4,0,4,1057.125,264281,least,0.000378385127950931
2020,DELAWARE,DE,"BIDEN, JOSEPH R. JR",296268,"TRUMP, DONALD J.",200603,7475,504346,DEMOCRAT,3,0,3,986.809,328936,least,0.0003040105066031082
2020,SOUTH DAKOTA,SD,"BIDEN, JOSEPH R. JR",150471,"TRUMP, DONALD J.",261043,11095,422609,REPUBLICAN,0,3,3,892.717,297572,least,0.0003360531232777277
2020,NORTH DAKOTA,ND,"BIDEN, JOSEPH R. JR",114902,"TRUMP, DONALD J.",235595,11322,361819,REPUBLICAN,0,3,3,765.309,255102,least,0.00039200006272001
2020,ALASKA,AK,"BIDEN, JOSEPH R. JR",153778,"TRUMP, DONALD J.",189951,15801,359530,REPUBLICAN,0,3,3,731.158,243719,least,0.00041030859309286515
2020,DISTRICT OF COLUMBIA,DC,"BIDEN, JOSEPH R. JR",317323,"TRUMP, DONALD J.",18586,8447,344356,DEMOCRAT,3,0,3,712.816,237605,least,0.00042086656425580266
2020,VERMONT,VT,"BIDEN, JOSEPH R. JR",242820,"TRUMP, DONALD J.",112704,15444,370968,DEMOCRAT,3,0,3,623.347,207782,least,0.00048127364256769117
2020,WYOMING,WY,"BIDEN, JOSEPH R. JR",73491,"TRUMP, DONALD J.",193559,11453,278503,REPUBLICAN,0,3,3,582.328,194109,least,0.0005151744638321768
